所屬資料庫,tid,所屬類別,cid,資料名稱,sid,統計資料檔案格式
桃園市統計年報,0001,土地,0001,市境界,000001,https://statisticsinfo.tycg.gov.tw/TaoyuanSTYB/RestfulAPI/GetStaticData.aspx?tid=0001&cid=0001&sid=000001&begin=2024&end=2025&type=JSON
桃園市統計年報,0001,土地,0001,已登記土地面積,000002,https://statisticsinfo.tycg.gov.tw/TaoyuanSTYB/RestfulAPI/GetStaticData.aspx?tid=0001&cid=0001&sid=000002&begin=2024&end=2025&type=JSON
桃園市統計年報,0001,土地,0001,實施三七五減租後佃農購買耕地面積與戶數(91~109年),000003,https://statisticsinfo.tycg.gov.tw/TaoyuanSTYB/RestfulAPI/GetStaticData.aspx?tid=0001&cid=0001&sid=000003&begin=2024&end=2025&type=JSON
桃園市統計年報,0001,土地,0001,實施三七五減租後承租人承買耕地面積及人數(110年後),000010,https://statisticsinfo.tycg.gov.tw/TaoyuanSTYB/RestfulAPI/GetStaticData.aspx?tid=0001&cid=0001&sid=000010&begin=2024&end=2025&type=JSON
桃園市統計年報,0001,土地,0001,實施三七五減租成果(91~109年),000004,https://statisticsinfo.tycg.gov.tw/TaoyuanSTYB/RestfulAPI/GetStaticData.aspx?tid=0001&cid=0001&sid=000004&begin=2024&end=2025&type=JSON
桃園市統計年報,0001,土地,0001,實施三七五減租成果(110年後),000011,https://statisticsinfo.tycg.gov.tw/TaoyuanSTYB/RestfulAPI/GetStaticData.aspx?tid=0001&cid=0001&sid=000011&begin=2024&end=2025&type=JSON
桃園市統計年報,0001,土地,0001,土地徵收面積,000005,https://statisticsinfo.tycg.gov.tw/TaoyuanSTYB/RestfulAPI/GetStaticData.aspx?tid=0001&cid=0001&sid=000005&begin=2024&end=2025&type=JSON
桃園市統計年報,0001,土地,0001,公地撥用面積,000006,https://statisticsinfo.tycg.gov.tw/TaoyuanSTYB/RestfulAPI/GetStaticData.aspx?tid=0001&cid=0001&sid=000006&begin=2024&end=2025&type=JSON
桃園市統計年報,0001,土地,0001,市地重劃成果【公辦】,000007,https://statisticsinfo.tycg.gov.tw/TaoyuanSTYB/RestfulAPI/GetStaticData.aspx?tid=0001&cid=0001&sid=000007&begin=2024&end=2025&type=JSON
桃園市統計年報,0001,土地,0001,市地重劃成果【自辦】,000008,https://statisticsinfo.tycg.gov.tw/TaoyuanSTYB/RestfulAPI/GetStaticData.aspx?tid=0001&cid=0001&sid=000008&begin=2024&end=2025&type=JSON
桃園市統計年報,0001,土地,0001,主要海岸、港灣,000009,https://statisticsinfo.tycg.gov.tw/TaoyuanSTYB/RestfulAPI/GetStaticData.aspx?tid=0001&cid=0001&sid=000009&begin=2024&end=2025&type=JSON
桃園市統計年報,0001,人口,0002,現住戶數、人口密度及性比例,000001,https://statisticsinfo.tycg.gov.tw/TaoyuanSTYB/RestfulAPI/GetStaticData.aspx?tid=0001&cid=0002&sid=000001&begin=2024&end=2025&type=JSON
桃園市統計年報,0001,人口,0002,戶籍動態(91~99年),000018,https://statisticsinfo.tycg.gov.tw/TaoyuanSTYB/RestfulAPI/GetStaticData.aspx?tid=0001&cid=0002&sid=000018&begin=2024&end=2025&type=JSON
桃園市統計年報,0001,人口,0002,戶籍動態(100年後),000002,https://statisticsinfo.tycg.gov.tw/TaoyuanSTYB/RestfulAPI/GetStaticData.aspx?tid=0001&cid=0002&sid=000002&begin=2024&end=2025&type=JSON
桃園市統計年報,0001,人口,0002,現住人口之年齡分配,000003,https://statisticsinfo.tycg.gov.tw/TaoyuanSTYB/RestfulAPI/GetStaticData.aspx?tid=0001&cid=0002&sid=000003&begin=2024&end=2025&type=JSON
桃園市統計年報,0001,人口,0002,現住人口之年齡結構,000004,https://statisticsinfo.tycg.gov.tw/TaoyuanSTYB/RestfulAPI/GetStaticData.aspx?tid=0001&cid=0002&sid=000004&begin=2024&end=2025&type=JSON
桃園市統計年報,0001,人口,0002,15歲以上現住人口之教育程度－按年齡別分(91~99年),000016,https://statisticsinfo.tycg.gov.tw/TaoyuanSTYB/RestfulAPI/GetStaticData.aspx?tid=0001&cid=0002&sid=000016&begin=2024&end=2025&type=JSON
桃園市統計年報,0001,人口,0002,15歲以上現住人口之教育程度－按年齡別分(100年後),000005,https://statisticsinfo.tycg.gov.tw/TaoyuanSTYB/RestfulAPI/GetStaticData.aspx?tid=0001&cid=0002&sid=000005&begin=2024&end=2025&type=JSON
桃園市統計年報,0001,人口,0002,15歲以上現住人口之教育程度－按區別分(91~99年),000017,https://statisticsinfo.tycg.gov.tw/TaoyuanSTYB/RestfulAPI/GetStaticData.aspx?tid=0001&cid=0002&sid=000017&begin=2024&end=2025&type=JSON
桃園市統計年報,0001,人口,0002,15歲以上現住人口之教育程度－按區別分(100年後),000006,https://statisticsinfo.tycg.gov.tw/TaoyuanSTYB/RestfulAPI/GetStaticData.aspx?tid=0001&cid=0002&sid=000006&begin=2024&end=2025&type=JSON
桃園市統計年報,0001,人口,0002,現住人口之婚姻狀況－按年齡別分(91~107年),000007,https://statisticsinfo.tycg.gov.tw/TaoyuanSTYB/RestfulAPI/GetStaticData.aspx?tid=0001&cid=0002&sid=000007&begin=2024&end=2025&type=JSON
桃園市統計年報,0001,人口,0002,現住人口之婚姻狀況－按年齡別分(108年後),000013,https://statisticsinfo.tycg.gov.tw/TaoyuanSTYB/RestfulAPI/GetStaticData.aspx?tid=0001&cid=0002&sid=000013&begin=2024&end=2025&type=JSON
桃園市統計年報,0001,人口,0002,現住人口之婚姻狀況－按區別分(91~107年),000008,https://statisticsinfo.tycg.gov.tw/TaoyuanSTYB/RestfulAPI/GetStaticData.aspx?tid=0001&cid=0002&sid=000008&begin=2024&end=2025&type=JSON
